1000 3000 
784 503 3071 
349 841 6769 
529 197 6606 
160 944 4058 
348 81 346 
907 800 9975 
35 966 6259 
436 917 603 
862 420 7429 
920 7 197 
712 142 9051 
135 491 1243 
903 371 8791 
508 530 6086 
917 229 7167 
262 487 4966 
588 521 8932 
847 309 9200 
449 522 9971 
878 794 9329 
426 505 2470 
828 991 6312 
70 893 1682 
860 752 2563 
297 21 5144 
463 282 7982 
781 870 2855 
64 68 163 
263 516 3684 
585 745 477 
913 522 2334 
734 349 2324 
46 770 3569 
79 629 6320 
994 926 3692 
137 740 6974 
470 520 5195 
324 583 4614 
486 197 9481 
170 133 7226 
998 45 7099 
331 779 5448 
7 176 6217 
575 606 8198 
246 599 7475 
938 87 1214 
263 557 7086 
809 880 4020 
422 718 7569 
902 239 7701 
479 236 98 
578 919 7228 
377 925 5403 
593 851 5360 
142 448 3311 
616 385 4397 
182 999 2953 
619 807 8185 
638 580 3902 
558 834 140 
259 312 3727 
356 241 645 
935 617 5921 
337 562 3123 
48 703 8571 
358 671 5955 
107 852 1306 
411 822 7112 
595 811 7044 
848 369 7877 
540 66 5686 
781 62 7620 
749 335 1308 
310 457 6707 
365 27 9065 
35 334 2171 
238 991 4581 
59 454 1528 
869 497 2375 
589 725 6066 
919 265 3483 
604 397 1544 
575 145 8230 
234 455 1687 
941 819 65 
5 205 750 
527 442 2740 
459 852 8194 
986 72 7042 
713 661 3767 
778 579 31 
260 535 5427 
155 461 2923 
385 695 2377 
423 635 9547 
487 991 9103 
589 517 8544 
680 975 3395 
873 961 9467 
915 25 9479 
33 802 4409 
63 413 6295 
841 567 2756 
763 303 7802 
492 725 5436 
390 564 7426 
493 152 2294 
388 183 8268 
135 56 9580 
953 322 8604 
431 354 7757 
191 768 521 
838 608 8440 
593 722 9742 
394 213 2467 
181 955 9382 
958 447 4885 
251 834 8067 
518 968 3474 
450 272 1795 
405 702 9500 
514 245 6619 
34 82 8578 
473 26 8300 
215 771 864 
33 951 5818 
766 260 8616 
650 510 7802 
716 379 3121 
190 828 393 
336 585 5446 
188 98 2690 
158 131 1123 
736 956 7148 
35 522 4918 
250 906 6220 
420 671 8479 
35 320 3988 
836 387 3719 
957 928 4546 
701 616 4130 
146 803 6579 
188 960 9710 
310 47 4665 
458 81 7538 
727 683 4443 
947 102 1113 
777 136 2432 
117 324 9170 
835 632 2098 
732 332 5713 
214 477 5867 
792 16 9178 
853 326 4225 
869 783 5657 
406 861 691 
848 159 8792 
960 936 1280 
743 52 9603 
913 238 3234 
362 321 8917 
426 534 5745 
292 678 2761 
821 882 1086 
220 406 8156 
80 96 6356 
239 888 5667 
526 167 3762 
929 121 1026 
166 354 387 
486 622 1812 
372 366 5455 
401 126 8275 
282 563 1672 
384 782 7077 
892 214 3172 
247 804 4411 
265 329 6929 
26 257 9049 
51 422 754 
437 259 1375 
600 982 7741 
54 734 3218 
681 368 9781 
352 751 6914 
780 642 1127 
303 240 3930 
66 505 1258 
994 530 2866 
43 581 639 
796 369 1250 
171 969 7583 
263 374 5317 
480 54 1684 
260 757 7434 
174 536 3428 
652 191 9667 
582 256 8171 
191 601 2701 
409 643 633 
47 791 6001 
296 313 3321 
879 575 1695 
195 54 5748 
230 314 9857 
15 839 4744 
794 490 9934 
461 423 2541 
983 966 3142 
683 374 7136 
667 420 5278 
668 68 2590 
340 946 3164 
34 492 218 
134 73 9883 
990 87 2721 
733 881 2562 
19 693 6985 
559 675 6302 
52 710 675 
540 376 3446 
817 43 9513 
407 735 6458 
922 768 2301 
139 901 2373 
21 242 460 
93 975 2692 
655 993 2384 
991 903 410 
292 307 3119 
966 198 7495 
411 14 5889 
276 772 1623 
733 694 2743 
386 184 4995 
758 557 8237 
569 1 3563 
612 655 907 
347 997 9161 
757 288 1467 
875 605 7664 
721 368 3030 
610 643 153 
584 727 2198 
326 112 9382 
321 870 4290 
909 438 3290 
471 50 5297 
729 396 7293 
889 152 5581 
356 379 7185 
371 99 5552 
752 60 6546 
905 644 273 
102 969 5384 
835 641 4253 
124 549 43 
766 371 9092 
62 99 2839 
354 988 5343 
934 695 6073 
471 417 6171 
374 169 4231 
920 425 8226 
192 878 8194 
575 713 8187 
180 188 3735 
222 953 1106 
665 14 7556 
503 368 9543 
197 653 1237 
269 123 3006 
440 849 5174 
22 768 6950 
247 311 7827 
792 885 9891 
978 64 1079 
65 285 7383 
522 949 7749 
77 804 3116 
972 1000 8120 
560 269 7243 
565 60 1443 
738 81 8210 
39 679 520 
866 822 3756 
108 152 2172 
186 216 5808 
921 89 109 
669 165 7912 
136 488 7263 
255 48 1531 
849 612 5942 
291 702 8374 
500 740 3404 
371 957 9226 
127 65 377 
298 250 6944 
105 522 32 
213 190 3548 
476 325 7036 
739 580 8083 
621 428 9694 
563 719 3395 
288 570 2487 
692 941 8443 
917 419 7507 
645 716 7109 
588 172 4630 
619 737 4172 
166 212 2496 
553 302 427 
635 923 5207 
681 837 8277 
427 476 4198 
913 167 7138 
356 435 9908 
214 79 1975 
322 666 9147 
952 636 4235 
123 802 2446 
970 706 100 
749 341 2374 
307 373 1562 
583 799 6037 
132 64 9204 
270 419 2990 
529 632 5069 
504 306 5086 
2 257 6722 
236 731 9875 
33 52 1580 
132 152 6272 
505 458 3644 
66 392 3443 
103 524 858 
658 145 5276 
647 673 3259 
67 528 5564 
153 529 3172 
874 764 254 
748 797 9306 
679 928 9809 
951 785 619 
594 202 10 
388 304 4885 
245 313 2381 
872 312 6054 
131 378 581 
46 882 5110 
218 755 225 
823 854 2021 
480 533 3301 
289 483 6437 
907 428 6638 
268 816 9942 
153 412 4606 
533 284 917 
938 766 6647 
871 811 528 
332 380 5635 
556 203 1840 
929 682 4372 
229 322 2206 
17 228 2634 
654 848 1801 
947 1000 564 
553 884 4199 
821 822 5964 
467 44 4127 
347 375 1858 
333 930 9412 
172 210 6094 
896 790 767 
101 806 1347 
86 460 4194 
238 406 4193 
154 958 6428 
352 131 4249 
316 949 7292 
794 295 7018 
651 979 7300 
63 151 6509 
508 398 4299 
626 850 7104 
972 288 7915 
165 525 321 
709 30 1630 
137 382 2760 
737 49 6709 
381 842 355 
398 844 9334 
697 258 1836 
558 117 2233 
856 743 9082 
311 714 1369 
226 879 7246 
546 587 7275 
175 75 2008 
287 812 1056 
347 192 1249 
701 589 8093 
386 638 7350 
573 195 7819 
157 50 7561 
239 712 4274 
959 937 8504 
556 834 4443 
831 361 8517 
838 647 1328 
246 993 6519 
494 45 7460 
586 783 5097 
288 355 2291 
106 512 9692 
666 102 4403 
291 60 692 
795 616 2525 
589 798 7885 
105 987 5883 
433 232 6875 
303 726 272 
762 663 9054 
210 950 7760 
852 407 8623 
895 424 724 
298 67 8136 
341 213 8103 
865 801 4252 
102 905 2238 
984 689 5822 
211 992 3547 
482 105 2561 
887 667 3863 
646 518 5269 
269 413 7045 
344 62 7111 
831 754 323 
933 618 1123 
536 71 4379 
774 55 5068 
595 265 2411 
493 98 3867 
53 984 4533 
915 981 9403 
536 249 8167 
580 945 5228 
690 775 3981 
12 60 6950 
486 595 2021 
864 720 1427 
931 314 2043 
693 158 4140 
560 563 3123 
444 477 3103 
846 12 2704 
12 943 2648 
591 632 3774 
923 995 7833 
225 832 1780 
597 696 1499 
23 978 9165 
65 671 8322 
204 582 4236 
678 25 1713 
132 871 5076 
835 234 5019 
834 177 5002 
608 99 5349 
792 675 7180 
923 271 1227 
422 645 6205 
938 61 7227 
611 264 1808 
847 293 7184 
559 425 6406 
986 611 7640 
4 445 5168 
358 404 6618 
706 547 5293 
885 470 5915 
464 891 3560 
668 828 6620 
246 438 9236 
405 284 4528 
588 194 8304 
994 180 6915 
985 535 5711 
152 892 2114 
769 597 6660 
413 834 1129 
328 297 3371 
239 316 6198 
858 561 6988 
445 317 3623 
325 904 7817 
628 249 7348 
894 585 882 
604 88 9774 
717 209 5722 
729 621 5907 
857 300 1555 
580 538 8870 
129 748 7782 
116 192 98 
91 516 9354 
259 496 1954 
606 389 5539 
839 993 1626 
964 61 6834 
686 789 2807 
944 998 9106 
499 577 1996 
720 705 1743 
502 173 3934 
951 263 9450 
656 873 9297 
962 478 7685 
500 316 3029 
477 280 1090 
663 317 1230 
469 612 8227 
926 110 8155 
921 182 7212 
663 35 2384 
949 985 9998 
750 993 7870 
46 954 9699 
730 805 14 
759 281 7645 
200 295 8313 
429 115 7925 
8 41 4386 
162 313 6567 
373 328 8601 
108 276 6938 
105 25 7282 
326 70 5235 
24 799 5391 
390 909 3023 
386 108 1318 
51 537 9432 
327 544 2824 
64 57 7137 
631 430 464 
583 889 3091 
872 346 8115 
153 671 7536 
739 47 2686 
481 788 6595 
504 173 3054 
821 575 590 
604 901 6485 
428 965 8894 
916 947 8675 
731 881 4563 
821 105 2908 
935 257 7931 
470 348 2977 
155 180 7116 
101 683 1640 
155 855 1215 
96 459 6467 
933 886 1783 
826 153 3729 
500 883 9962 
414 703 1066 
322 989 674 
604 810 373 
580 316 5553 
47 417 9235 
686 923 9090 
900 370 900 
367 302 1137 
501 479 3289 
230 330 4171 
543 744 3225 
608 417 8565 
281 20 1374 
654 951 7041 
206 997 5809 
792 682 731 
233 934 5101 
132 652 1754 
268 152 3233 
908 733 4562 
430 275 6657 
654 882 6073 
218 515 3444 
943 520 5394 
984 77 1742 
792 868 7776 
875 101 1061 
975 584 1712 
80 204 4215 
664 111 2300 
578 893 9574 
234 898 9808 
659 116 7322 
102 410 5193 
848 393 6269 
941 537 6136 
716 411 6588 
776 737 8524 
839 816 6727 
406 832 7189 
705 409 4081 
278 642 3331 
437 652 4446 
110 106 4207 
302 953 6952 
570 245 8488 
58 961 2250 
997 88 3338 
520 279 3505 
598 684 2336 
139 388 744 
571 17 5386 
901 806 1389 
698 915 9494 
905 217 1446 
856 138 1691 
695 547 8003 
296 544 1442 
633 415 3720 
137 13 1755 
473 151 1494 
216 73 8863 
953 974 3668 
342 671 9582 
835 927 8150 
633 134 5640 
675 828 8186 
29 475 8729 
822 107 8496 
894 244 1508 
648 68 4010 
494 635 82 
356 940 9407 
375 281 6430 
956 467 5356 
458 451 9490 
97 477 3669 
282 857 144 
363 679 8602 
858 572 6197 
717 571 5264 
726 416 9251 
159 771 7190 
918 145 6822 
347 453 7640 
702 910 1091 
543 358 7919 
212 639 6128 
707 353 806 
308 562 4729 
505 278 9651 
120 355 7067 
370 866 2189 
559 783 8686 
380 129 6138 
20 830 5399 
462 373 5756 
732 936 1746 
859 994 8451 
16 301 8012 
96 157 8290 
747 629 9644 
165 350 4861 
353 909 643 
38 640 9771 
527 11 3953 
925 824 2677 
32 908 9612 
778 766 7605 
228 134 5257 
591 229 8766 
880 327 9746 
876 491 1095 
736 196 6355 
731 233 5995 
501 112 357 
805 388 533 
481 420 4440 
444 549 4557 
690 9 6718 
271 774 1598 
597 519 8825 
88 965 912 
283 320 3642 
867 666 2495 
330 22 5299 
718 906 780 
137 345 8575 
685 254 327 
164 943 7335 
881 213 9460 
830 162 1330 
654 249 4294 
566 883 3613 
559 101 5278 
53 431 3652 
352 148 8909 
483 636 8606 
409 672 2859 
735 835 8801 
69 715 4366 
880 545 2527 
209 550 127 
855 467 7361 
467 26 2813 
97 78 3243 
100 781 742 
8 263 377 
613 672 48 
471 758 9882 
624 827 2949 
341 58 845 
219 267 2394 
697 121 1213 
409 939 8238 
221 387 8667 
464 486 1448 
205 846 62 
934 810 3085 
981 633 843 
215 608 7021 
163 300 1078 
7 870 696 
752 566 168 
964 326 3107 
553 546 3845 
572 361 3331 
19 918 9528 
432 851 4689 
869 183 5321 
63 397 2928 
83 559 4579 
512 917 6448 
560 21 5013 
727 336 338 
833 241 5236 
678 812 6596 
360 182 1513 
239 613 6715 
927 481 5898 
600 543 5294 
527 977 4205 
458 841 3473 
905 400 5493 
270 126 4181 
607 311 1421 
194 340 2232 
790 51 4413 
654 289 4377 
369 567 5210 
266 166 4104 
911 45 4433 
115 502 7273 
940 406 6024 
432 675 8149 
964 634 5811 
384 827 150 
967 968 3552 
731 974 9192 
460 342 1759 
669 959 2924 
124 869 8320 
908 336 9821 
180 275 6579 
555 706 3605 
704 22 7590 
866 405 3769 
368 724 8736 
919 454 6709 
111 913 4402 
869 933 1360 
144 409 9229 
816 316 4916 
636 848 9190 
566 402 247 
171 457 2268 
112 323 3025 
880 690 4748 
968 960 8201 
28 70 466 
430 290 6750 
141 786 1158 
721 601 4474 
636 588 321 
825 154 4722 
72 676 2179 
339 139 4853 
363 19 6542 
462 986 3501 
663 365 4923 
480 794 6212 
229 935 9349 
387 7 9949 
860 643 6889 
532 467 394 
253 890 421 
783 581 4559 
635 295 6577 
528 757 7914 
381 771 5279 
303 250 9424 
866 830 1710 
567 216 7717 
515 427 2359 
403 310 1177 
796 915 4419 
216 697 7999 
775 684 1293 
703 563 5401 
969 943 2171 
599 597 4772 
22 815 3602 
732 381 6169 
800 895 6948 
257 38 9797 
171 456 13 
220 454 1139 
903 99 5193 
465 851 3513 
760 22 7111 
356 793 133 
170 746 1216 
550 915 15 
797 862 3876 
798 470 8913 
594 641 8369 
958 212 2174 
448 114 3624 
641 930 475 
153 689 9496 
616 397 9640 
748 918 9738 
315 820 9652 
681 616 2865 
556 765 2334 
468 358 3326 
188 316 6537 
362 763 2002 
337 755 9284 
811 260 7324 
658 227 5720 
650 974 3638 
387 640 2809 
390 320 4776 
254 227 9540 
939 694 6897 
617 234 9564 
153 595 8679 
507 283 5785 
790 94 8044 
113 751 1622 
833 400 7595 
822 138 2586 
630 527 3905 
405 780 8131 
944 71 4177 
192 687 410 
756 191 5356 
434 697 2638 
218 486 9083 
614 599 7834 
235 783 7585 
182 604 8075 
767 585 2601 
24 341 6733 
506 636 2803 
682 827 489 
443 934 2679 
798 367 1376 
788 937 2213 
870 550 9811 
703 136 2593 
640 669 548 
714 436 132 
666 811 8824 
398 316 3459 
200 998 3638 
40 792 2571 
71 590 5290 
798 377 1226 
10 246 1127 
821 301 262 
765 292 8931 
313 357 9718 
796 22 6528 
620 420 195 
430 971 8544 
67 11 8336 
990 433 1277 
279 230 3653 
856 591 7250 
982 763 9902 
595 528 5545 
877 840 5901 
594 987 6275 
473 606 694 
668 36 1016 
211 454 5026 
898 443 810 
174 73 7039 
826 928 4982 
428 261 1744 
681 856 6271 
226 732 5462 
478 678 9449 
752 502 7054 
797 169 4441 
813 732 5247 
190 629 2041 
1000 803 114 
390 980 3393 
371 407 6654 
115 440 2861 
737 665 4592 
199 142 621 
999 246 1123 
404 42 2643 
845 854 7374 
443 44 6355 
483 395 8157 
948 784 5488 
341 507 9247 
346 973 5686 
206 61 350 
149 259 1843 
122 609 88 
244 13 8482 
886 209 5335 
612 651 4730 
966 133 7476 
474 433 612 
961 125 5470 
207 822 7442 
892 27 5502 
593 527 5113 
788 648 5721 
227 243 733 
708 129 941 
395 92 7943 
476 57 7428 
952 882 5860 
915 842 9336 
384 401 8157 
825 644 1535 
678 237 4061 
790 376 9061 
863 954 1303 
947 662 9783 
240 408 1874 
182 883 282 
609 186 3163 
820 100 2357 
155 483 757 
311 659 400 
845 337 7988 
258 478 5363 
670 692 5317 
972 639 6330 
107 230 3737 
980 763 4971 
614 724 7509 
776 543 5608 
132 50 7443 
240 712 453 
640 909 3789 
627 166 1619 
342 187 9662 
658 158 8652 
339 264 5881 
427 596 5644 
397 209 5367 
257 336 7261 
865 820 4310 
659 59 7374 
111 50 5282 
252 677 4799 
870 18 4985 
883 27 3494 
535 717 3758 
415 143 6705 
410 891 6265 
776 148 5600 
389 364 9771 
698 374 3182 
71 484 6231 
704 87 6907 
502 308 3276 
486 191 654 
332 725 5370 
89 139 3864 
145 549 1107 
409 676 8254 
360 64 9969 
131 114 7342 
312 536 7177 
542 240 3264 
801 93 9923 
428 931 4113 
82 262 837 
803 702 2328 
19 846 7876 
125 254 1903 
730 965 5319 
698 95 2432 
391 758 3319 
919 300 558 
534 452 8003 
457 879 7933 
569 960 6546 
406 115 1247 
733 133 5092 
960 257 697 
214 986 3661 
532 35 108 
963 425 6865 
282 343 164 
191 877 5967 
545 685 4846 
477 253 157 
22 10 7271 
620 94 2755 
711 405 5011 
759 619 1348 
772 150 5382 
879 465 7158 
743 98 3853 
259 640 5081 
225 185 765 
422 661 5017 
579 35 1379 
201 654 9472 
956 717 9877 
318 475 847 
666 598 4996 
399 476 3812 
909 219 7909 
761 829 549 
193 405 9733 
957 827 9745 
325 405 779 
55 957 6785 
527 912 6501 
755 582 3327 
601 599 925 
948 997 5752 
760 257 8322 
20 17 5150 
568 561 8555 
652 517 9733 
749 194 6137 
879 248 445 
663 126 6357 
515 880 4290 
194 480 2888 
470 780 236 
221 539 3493 
895 910 2861 
44 830 3422 
950 481 2290 
682 581 4483 
170 460 4083 
615 474 4208 
323 989 1088 
612 534 1919 
499 355 8050 
734 575 588 
578 469 2850 
439 865 2679 
860 814 2511 
149 848 2092 
984 17 8551 
66 631 5024 
625 953 4364 
712 564 6249 
983 414 1603 
32 500 2530 
972 77 7350 
821 515 1214 
851 726 5380 
361 227 3227 
804 210 7243 
706 627 4226 
82 251 530 
445 315 446 
46 649 6859 
648 680 6358 
177 3 8787 
527 175 4301 
92 25 5379 
471 738 1605 
49 541 166 
292 247 5144 
869 328 4394 
398 124 8060 
843 169 1708 
54 169 9740 
411 345 9094 
549 223 6269 
850 315 6645 
580 785 6382 
184 834 275 
349 477 6873 
844 697 7552 
237 94 6675 
649 289 3196 
708 342 2364 
447 104 6708 
893 653 6283 
161 854 9597 
157 433 4733 
539 968 4918 
165 668 3746 
37 511 5442 
588 99 6888 
614 747 2176 
809 455 869 
524 253 2972 
232 145 9976 
866 657 9829 
462 814 613 
194 704 7580 
112 868 3599 
857 256 1109 
651 843 7208 
538 456 6306 
713 617 3760 
581 140 8365 
904 723 6509 
880 588 3518 
60 49 3331 
673 595 5034 
604 706 5253 
203 914 4508 
663 564 350 
870 453 2157 
176 165 6773 
287 97 9265 
651 1 9987 
512 232 1575 
29 291 9975 
711 315 3569 
96 271 3626 
700 825 3892 
207 487 9807 
908 709 8260 
416 884 7776 
541 522 2873 
805 525 9225 
791 36 456 
717 416 9098 
44 478 9413 
612 573 8035 
590 272 5859 
481 830 6697 
287 737 1405 
898 152 2640 
674 44 514 
546 848 7038 
122 991 1425 
577 59 840 
26 102 7669 
790 66 593 
824 655 4864 
34 487 4045 
731 125 5781 
487 23 1284 
127 696 3680 
640 593 9527 
29 66 7869 
453 642 3928 
644 667 4029 
312 457 8094 
904 632 6100 
119 666 5586 
163 748 2711 
295 234 5733 
930 712 8780 
609 703 4724 
488 731 2789 
356 535 9782 
283 178 4800 
664 489 3608 
109 744 4240 
209 862 5257 
146 376 7004 
589 940 5952 
653 71 6560 
355 146 9399 
438 286 3755 
972 419 8389 
150 219 3404 
990 178 6513 
734 769 2073 
947 25 3218 
323 380 3426 
344 321 5717 
647 973 3140 
559 327 5285 
957 764 6571 
711 736 3989 
452 237 2559 
855 226 4737 
367 311 3857 
791 610 1882 
9 284 9613 
786 627 933 
502 626 6257 
993 184 8584 
278 140 7699 
200 203 786 
540 654 1374 
99 508 1600 
187 227 7262 
43 17 8223 
276 377 1506 
241 162 2485 
173 16 7110 
430 8 8293 
365 637 5432 
415 836 8634 
201 376 2639 
574 826 8147 
525 364 4373 
0
